proof_id,domain,theorem_name,verdict,location,explanation,score
93,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
94,Logic,DeMorgan,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
95,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
96,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
97,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
98,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
99,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
100,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
101,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
102,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
103,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
104,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
105,Logic,DeMorgan,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
106,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
107,Logic,DeMorgan,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
108,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
109,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
110,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
111,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
112,Logic,DeMorgan,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
113,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
114,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
115,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
116,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
117,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
118,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
119,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
120,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
121,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
122,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
123,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
124,Logic,DeMorgan,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
125,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
126,Logic,DeMorgan,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
127,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
128,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
129,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
130,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
131,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
132,Logic,DeMorgan,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
133,Logic,DeMorgan,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
134,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
135,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
136,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
137,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
138,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
139,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
140,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
141,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
142,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
143,Logic,DeMorgan,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
144,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
145,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
146,Logic,DeMorgan,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
147,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
148,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
149,Logic,DeMorgan,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
150,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
151,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
152,Logic,DeMorgan,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
153,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
154,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
155,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
156,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
157,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
158,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
159,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
160,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
161,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
162,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
163,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
164,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
165,Logic,DeMorgan,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
166,Logic,DeMorgan,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
167,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
168,Logic,DeMorgan,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
169,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
170,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
171,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
172,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
173,Logic,DeMorgan,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
174,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
175,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
176,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
177,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
178,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
179,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
180,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
181,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
182,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
183,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
184,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
185,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
186,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
187,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
188,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
189,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
190,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
191,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
192,Logic,DeMorgan,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
193,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
194,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
195,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
196,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
197,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
198,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
199,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
200,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
201,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
202,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
203,Logic,DeMorgan,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
204,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
205,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
206,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
207,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
208,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
209,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
210,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
211,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
212,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
213,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
214,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
215,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
216,Logic,DeMorgan,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
217,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
218,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
219,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
220,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
221,Logic,DeMorgan,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
222,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
223,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
224,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
225,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
226,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
227,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
228,Logic,DeMorgan,Invalid,0-0,Detected flaw type: division_by_zero. The error lies between positions 0-0.,0.2
229,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
230,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
231,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
232,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
233,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
234,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
235,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
236,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
237,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
238,Logic,DeMorgan,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
239,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
240,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
241,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
242,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
243,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
244,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
245,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
246,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
247,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
248,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
249,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
250,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
251,Logic,DeMorgan,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
252,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
253,Logic,DeMorgan,Invalid,0-0,Detected flaw type: circularity. The error lies between positions 0-0.,0.2
254,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
255,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
256,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
257,NumberTheory,IrrationalSqrt2,Valid,N/A,All steps are logically consistent with the theorem.,1.0
258,Calculus,ContinuityLinear,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
259,NumberTheory,SumFirstN,Invalid,0-0,Detected flaw type: illegal_step. The error lies between positions 0-0.,0.2
260,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
261,Calculus,ContinuityLinear,Valid,N/A,All steps are logically consistent with the theorem.,1.0
262,Logic,DeMorgan,Invalid,0-0,Detected flaw type: misuse_quantifier. The error lies between positions 0-0.,0.2
263,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
264,Logic,DeMorgan,Invalid,0-0,Detected flaw type: equivocation. The error lies between positions 0-0.,0.2
265,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
266,Logic,DeMorgan,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
267,NumberTheory,IrrationalSqrt2,Invalid,0-0,Detected flaw type: unstated_assumption. The error lies between positions 0-0.,0.2
268,Logic,DeMorgan,Valid,N/A,All steps are logically consistent with the theorem.,1.0
269,SetTheory,SubsetTransitive,Valid,N/A,All steps are logically consistent with the theorem.,1.0
270,NumberTheory,SumFirstN,Valid,N/A,All steps are logically consistent with the theorem.,1.0
271,Logic,DeMorgan,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
272,Logic,DeMorgan,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
273,Logic,DeMorgan,Invalid,0-0,Detected flaw type: base_case. The error lies between positions 0-0.,0.2
274,SetTheory,SubsetTransitive,Invalid,0-0,Detected flaw type: non_sequitur. The error lies between positions 0-0.,0.2
